id	func	details_en
F22	PI	Phonogram pḥ in “reach,” pḥty “strength.” Logogram for pḥwy “end.”
F23	ID	Determinative or Logogram in ḫpš “strong arm, leg.”
F24	ID	Use as F23.
F25	P	Phonogram wḥm in “hoof,” “repeat.”
F26	P	Phonogram ẖn. In ẖnw “interior,” ẖn “approach.”
F27	D	Determinative in dḥr “hide,” mskꜣ “skin.”
F28	P	Phonogram sꜣb.
F29	PID	Phonogram st. Determinative and Logogram sti “pierce, shoot.”
F30	P	Phonogram šd. In šdi “draw forth,” šdw “water skin.”
F31	P	Phonogram ms. In msi “give birth.”
F32	PI	Phonogram ẖ. Logogram in ẖt “belly, body.”
F33	PID	Phonogram sd. Determinative and Ideo in sd “tail.”
F34	ID	Logogram for ỉb (“heart, mind”). Determinative in ḥꜣty (“heart”).
F35	P	Phonogram nfr. In nfr “good, beautiful.”
F36	P	Phonogram smꜣ. In smꜣ (“unite, join”).
F37	ID	Determinative or Logogram in iꜣt “back.” Determinative in psd “back.”
F38	D	Determinative in psd “back.”
F39	ID	Determinative and Logogram in imꜣḫ “spine” and “honor.”
F40	P	Phonogram ꜣw.
F41	D	Determinative in psd “back.”
F42	PID	Phonogram spr. In spr (“arrive, appeal”); determinative or logogram in spr (“rib”).
F43	D	Determinative in sḥpt “ribs.”
F44	P	Phonogram iwꜥ, isw. In iwꜥ inherit,” siw “exchange.”
F45	ID	Determinative or Logogram in dit “vulva, cow.”
F46	ID	Determinative or logogram in ḳꜣb (“intestine, midst”). Determinative in pẖr (“go around, turn”).
F47	ID	Use as F46.
F48	ID	Use as F46.
F49	ID	Use as F46.
F50	P	Phonogram spḫr, “write, copy.”
F51	PD	Phonogram is, ist, ws. Determinative ḥꜥ “flesh,” iwf “meat.”
F52	D	Determinative in ḥs “excrement.”
G1	P	Phonogram 3. In 3 “vulture.’
G2	P	Phono 33. In mꜣꜣ “see.”
G3	P	Phonogram in mꜣ. In smꜣwy “renew.”
G4	P	Phonogram tyw.
G5	I	Logogram ḥrw “Horus.”
G6		De.t in bik “falcon.”
